CELL TYPE SCORE MATRIX
leiden,Dendritic_cell,Macrophage,Monocyte,NK,Neutrophil,pDC,Treg,CD8_T,CD4_T,MDSC,probable_cluster
9,Fn1,15.622,4.806,0.0,0.0,up
9,Cebpe,3.622,4.266,0.0,0.009,up
9,Lyz1,8.458,4.151,0.0,0.0,up
9,Mgl2,10.991,3.961,0.0,0.0,up
9,Fcrls,9.878,3.864,0.0,0.0,up
9,H2-Ab1,13.791,3.44,0.0,0.0,up
10,Fscn1,16.953,9.29,0.0,0.0,up
10,Ccr7,19.388,8.745,0.0,0.0,up
10,Tmem150c,5.844,8.743,0.0,0.0,up
10,Gm13546,12.899,8.562,0.0,0.0,up
10,Ccl22,15.096,8.358,0.0,0.0,up
10,Apol7c,3.741,8.314,0.0,0.002,up
10,Nudt17,11.531,8.155,0.0,0.0,up
10,Il4i1,16.614,7.936,0.0,0.0,up
10,Gm10851,4.944,7.822,0.0,0.0,up
10,Cxcr5,3.899,7.82,0.0,0.001,up
11,Smoc2,4.203,9.986,0.0,0.0,up
11,Grb10,9.409,9.978,0.0,0.0,up
11,Tbx18,3.005,9.97,0.003,0.022,up
11,Foxs1,3.002,9.966,0.003,0.022,up
11,Aspn,7.004,9.964,0.0,0.0,up
11,Dpt,6.799,9.941,0.0,0.0,up
11,Srpx2,5.204,9.927,0.0,0.0,up
11,Prkcdbp,14.815,9.912,0.0,0.0,up
11,Ldb2,4.404,9.876,0.0,0.0,up
11,Lmcd1,4.004,9.819,0.0,0.001,up
