group,names,scores,logfoldchanges,pvals,pvals_adj,regulation
5,Klrc2,-2.194,-7.297,0.028,0.046,down
5,Fut7,-2.717,-7.388,0.007,0.011,down
5,Gpr174,-3.853,-7.985,0.0,0.0,down
6,D13Ertd608e,3.887,8.454,0.0,0.001,up
6,Klk1,3.202,8.334,0.001,0.009,up
6,Atp2a1,3.308,8.187,0.001,0.006,up
6,Siglech,4.515,7.681,0.0,0.0,up
6,Ccr9,4.517,7.656,0.0,0.0,up
6,Klk1b27,3.014,7.561,0.003,0.015,up
6,Ly6d,3.636,6.373,0.0,0.002,up
6,Cd209a,16.097,6.349,0.0,0.0,up
6,Upb1,4.542,6.213,0.0,0.0,up
6,Smim5,7.209,5.805,0.0,0.0,up
6,Rab4a,-2.985,-5.46,0.003,0.016,down
6,Fam20c,-4.087,-5.531,0.0,0.0,down
6,Cpe,-3.576,-5.54,0.0,0.003,down
6,Pax3,-3.831,-5.566,0.0,0.001,down
6,Cdk15,-3.145,-5.574,0.002,0.01,down
6,Scarf1,-2.66,-5.71,0.008,0.038,down
6,Slc6a8,-6.018,-5.799,0.0,0.0,down
6,Ahnak2,-5.005,-5.936,0.0,0.0,down
6,Gdf15,-4.589,-6.103,0.0,0.0,down
6,Sox10,-3.75,-6.4,0.0,0.002,down
7,Ncr1,12.656,9.28,0.0,0.0,up
7,Klra4,6.497,8.141,0.0,0.0,up
7,Klrb1c,11.942,8.119,0.0,0.0,up
7,Klra7,9.865,7.831,0.0,0.0,up
7,Klra6,2.702,7.73,0.007,0.048,up
7,Khdc1a,3.25,7.555,0.001,0.011,up
7,Klra8,5.258,7.511,0.0,0.0,up
7,Klrb1a,5.541,7.424,0.0,0.0,up
7,Gzma,11.007,7.192,0.0,0.0,up
7,Klrb1f,8.35,6.784,0.0,0.0,up
7,Acp2,-6.569,-6.568,0.0,0.0,down
7,Saa3,-4.147,-6.581,0.0,0.0,down
7,Pirb,-11.2,-6.63,0.0,0.0,down
7,Clec10a,-5.789,-6.638,0.0,0.0,down
7,Mafb,-11.311,-6.831,0.0,0.0,down
7,Il1rn,-7.13,-6.983,0.0,0.0,down
7,Trem2,-10.029,-6.987,0.0,0.0,down
7,Bst1,-7.753,-7.039,0.0,0.0,down
7,Cd300a,-9.031,-7.309,0.0,0.0,down
7,C3ar1,-10.732,-7.826,0.0,0.0,down
8,Gcsam,13.135,9.133,0.0,0.0,up
8,A530099J19Rik,10.023,8.729,0.0,0.0,up
8,Ffar4,11.137,8.232,0.0,0.0,up
8,Sept3,15.456,7.63,0.0,0.0,up
8,Homer2,5.348,7.441,0.0,0.0,up
8,Gramd2,3.222,7.334,0.001,0.015,up
8,Itgae,12.762,7.257,0.0,0.0,up
8,Fndc5,4.754,6.882,0.0,0.0,up
8,Xcr1,15.224,6.798,0.0,0.0,up
8,Mycl,10.349,6.664,0.0,0.0,up
8,Fkbp9,-3.06,-4.917,0.002,0.024,down
8,Lrp1,-8.598,-4.992,0.0,0.0,down
8,Scamp5,-3.273,-5.016,0.001,0.013,down
8,Cd300ld,-4.949,-5.131,0.0,0.0,down
8,C4b,-2.996,-5.3,0.003,0.029,down
8,Stab1,-5.339,-5.482,0.0,0.0,down
8,Hebp1,-3.125,-5.557,0.002,0.02,down
8,Clec4a2,-11.574,-6.185,0.0,0.0,down
8,Igf1,-4.628,-7.013,0.0,0.0,down
8,Gas6,-3.961,-7.06,0.0,0.001,down
9,Btbd17,4.399,6.675,0.0,0.001,up
9,Ear2,13.021,6.427,0.0,0.0,up
9,Retnla,10.857,5.466,0.0,0.0,up
9,Aldh1a2,3.006,5.162,0.003,0.046,up
9,Fn1,15.622,4.806,0.0,0.0,up
9,Cebpe,3.622,4.266,0.0,0.009,up
9,Lyz1,8.458,4.151,0.0,0.0,up
9,Mgl2,10.991,3.961,0.0,0.0,up
9,Fcrls,9.878,3.864,0.0,0.0,up
