names,scores,logfoldchanges,pvals,pvals_adj,leiden,n_case,n_control,cell_type
Ifitm1,-4.291,-1.35,0.0,0.001,2,793,459,Monocyte
S100a8,-4.492,-5.291,0.0,0.001,2,793,459,Monocyte
Trf,-4.508,-1.089,0.0,0.001,2,793,459,Monocyte
Saa3,-4.514,-3.239,0.0,0.001,2,793,459,Monocyte
Bhlhe40,-4.755,-1.145,0.0,0.0,2,793,459,Monocyte
Vcan,-4.975,-1.332,0.0,0.0,2,793,459,Monocyte
Trem2,-5.525,-1.032,0.0,0.0,2,793,459,Monocyte
F13a1,-5.722,-1.035,0.0,0.0,2,793,459,Monocyte
Hp,-5.837,-1.362,0.0,0.0,2,793,459,Monocyte
Chil3,-5.857,-1.557,0.0,0.0,2,793,459,Monocyte
Gsr,-6.157,-1.131,0.0,0.0,2,793,459,Monocyte
Fn1,-7.42,-1.594,0.0,0.0,2,793,459,Monocyte
Apoe,-9.238,-1.423,0.0,0.0,2,793,459,Monocyte
Cd74,8.018,2.124,0.0,0.0,3,122,1036,MoDC
H2-Aa,7.892,2.068,0.0,0.0,3,122,1036,MoDC
Tagln2,7.587,1.195,0.0,0.0,3,122,1036,MoDC
Ifi27l2a,7.562,1.373,0.0,0.0,3,122,1036,MoDC
H2-Eb1,7.277,2.014,0.0,0.0,3,122,1036,MoDC
Zbp1,7.173,1.273,0.0,0.0,3,122,1036,MoDC
H2-Ab1,7.123,1.84,0.0,0.0,3,122,1036,MoDC
H2-Q7,6.623,1.446,0.0,0.0,3,122,1036,MoDC
Retnla,6.069,2.686,0.0,0.0,3,122,1036,MoDC
Isg15,5.981,1.434,0.0,0.0,3,122,1036,MoDC
Stat1,5.429,1.104,0.0,0.0,3,122,1036,MoDC
Tap1,5.426,1.074,0.0,0.0,3,122,1036,MoDC
Mgl2,4.978,1.791,0.0,0.0,3,122,1036,MoDC
Tppp3,4.889,1.605,0.0,0.0,3,122,1036,MoDC
Slamf9,4.845,2.093,0.0,0.0,3,122,1036,MoDC
Xaf1,4.417,1.304,0.0,0.001,3,122,1036,MoDC
Lpl,4.23,1.043,0.0,0.003,3,122,1036,MoDC
Unc119,4.071,1.046,0.0,0.005,3,122,1036,MoDC
Dpysl2,3.984,1.027,0.0,0.007,3,122,1036,MoDC
Clec4b1,3.982,1.563,0.0,0.007,3,122,1036,MoDC
Tubb4b,3.931,1.135,0.0,0.008,3,122,1036,MoDC
Pdlim1,3.884,1.757,0.0,0.009,3,122,1036,MoDC
Gstp1,3.86,1.488,0.0,0.01,3,122,1036,MoDC
Rsad2,3.747,1.194,0.0,0.015,3,122,1036,MoDC
Oas1a,3.716,1.243,0.0,0.016,3,122,1036,MoDC
Clec12a,3.433,1.062,0.001,0.041,3,122,1036,MoDC
Ralgds,-3.411,-1.378,0.001,0.044,3,122,1036,MoDC
Acp5,-3.411,-2.134,0.001,0.044,3,122,1036,MoDC
Ssh2,-3.439,-1.108,0.001,0.04,3,122,1036,MoDC
Pink1,-3.489,-1.031,0.0,0.034,3,122,1036,MoDC
Klf9,-3.586,-1.548,0.0,0.025,3,122,1036,MoDC
Fkbp5,-3.841,-2.783,0.0,0.011,3,122,1036,MoDC
Hist1h1c,-3.875,-1.06,0.0,0.01,3,122,1036,MoDC
Enpp1,-4.044,-1.154,0.0,0.005,3,122,1036,MoDC
Hilpda,-4.163,-2.269,0.0,0.004,3,122,1036,MoDC
Slco2b1,-4.306,-2.643,0.0,0.002,3,122,1036,MoDC
Hpse,-4.384,-1.171,0.0,0.002,3,122,1036,MoDC
Mt2,-4.482,-1.048,0.0,0.001,3,122,1036,MoDC
Tns1,-4.608,-1.042,0.0,0.001,3,122,1036,MoDC
Gm26532,-4.641,-1.414,0.0,0.001,3,122,1036,MoDC
Stab1,-4.727,-1.007,0.0,0.0,3,122,1036,MoDC
Smim14,-4.888,-1.059,0.0,0.0,3,122,1036,MoDC
Sult1a1,-5.219,-1.461,0.0,0.0,3,122,1036,MoDC
