names,scores,logfoldchanges,pvals,pvals_adj,leiden,n_case,n_control
Retnla,6.069,2.686,0.0,0.0,3,122,1036
Isg15,5.981,1.434,0.0,0.0,3,122,1036
Stat1,5.429,1.104,0.0,0.0,3,122,1036
Tap1,5.426,1.074,0.0,0.0,3,122,1036
Mgl2,4.978,1.791,0.0,0.0,3,122,1036
Tppp3,4.889,1.605,0.0,0.0,3,122,1036
Slamf9,4.845,2.093,0.0,0.0,3,122,1036
Xaf1,4.417,1.304,0.0,0.001,3,122,1036
Lpl,4.23,1.043,0.0,0.003,3,122,1036
Unc119,4.071,1.046,0.0,0.005,3,122,1036
Dpysl2,3.984,1.027,0.0,0.007,3,122,1036
Clec4b1,3.982,1.563,0.0,0.007,3,122,1036
Tubb4b,3.931,1.135,0.0,0.008,3,122,1036
Pdlim1,3.884,1.757,0.0,0.009,3,122,1036
Gstp1,3.86,1.488,0.0,0.01,3,122,1036
Rsad2,3.747,1.194,0.0,0.015,3,122,1036
Oas1a,3.716,1.243,0.0,0.016,3,122,1036
Clec12a,3.433,1.062,0.001,0.041,3,122,1036
Ralgds,-3.411,-1.378,0.001,0.044,3,122,1036
Acp5,-3.411,-2.134,0.001,0.044,3,122,1036
Ssh2,-3.439,-1.108,0.001,0.04,3,122,1036
Pink1,-3.489,-1.031,0.0,0.034,3,122,1036
Klf9,-3.586,-1.548,0.0,0.025,3,122,1036
Fkbp5,-3.841,-2.783,0.0,0.011,3,122,1036
Hist1h1c,-3.875,-1.06,0.0,0.01,3,122,1036
Enpp1,-4.044,-1.154,0.0,0.005,3,122,1036
Hilpda,-4.163,-2.269,0.0,0.004,3,122,1036
Slco2b1,-4.306,-2.643,0.0,0.002,3,122,1036
Hpse,-4.384,-1.171,0.0,0.002,3,122,1036
Mt2,-4.482,-1.048,0.0,0.001,3,122,1036
Tns1,-4.608,-1.042,0.0,0.001,3,122,1036
Gm26532,-4.641,-1.414,0.0,0.001,3,122,1036
Stab1,-4.727,-1.007,0.0,0.0,3,122,1036
Smim14,-4.888,-1.059,0.0,0.0,3,122,1036
Sult1a1,-5.219,-1.461,0.0,0.0,3,122,1036
Hbb-bs,-5.22,-28.266,0.0,0.0,3,122,1036
Gpx3,-5.277,-3.402,0.0,0.0,3,122,1036
Cxcl16,-5.29,-1.216,0.0,0.0,3,122,1036
Cd38,-5.372,-1.212,0.0,0.0,3,122,1036
Cd300a,-5.496,-1.212,0.0,0.0,3,122,1036
Tmem8,-5.626,-1.642,0.0,0.0,3,122,1036
Abhd12,-5.71,-1.094,0.0,0.0,3,122,1036
Ier3,-5.73,-1.074,0.0,0.0,3,122,1036
Socs3,-5.947,-1.281,0.0,0.0,3,122,1036
Ypel3,-6.025,-1.176,0.0,0.0,3,122,1036
Lrg1,-6.085,-2.763,0.0,0.0,3,122,1036
Hmox1,-7.066,-1.305,0.0,0.0,3,122,1036
Glul,-7.538,-1.161,0.0,0.0,3,122,1036
Cd63,-8.266,-1.372,0.0,0.0,3,122,1036
Pla2g7,-8.363,-1.703,0.0,0.0,3,122,1036
Saa3,-8.483,-3.343,0.0,0.0,3,122,1036
Trf,-8.637,-1.353,0.0,0.0,3,122,1036
Hgsnat,-8.725,-2.598,0.0,0.0,3,122,1036
Ninj1,-9.312,-1.103,0.0,0.0,3,122,1036
Sepp1,-10.858,-1.146,0.0,0.0,3,122,1036
Apoe,-11.387,-1.79,0.0,0.0,3,122,1036
Bst2,10.54,1.09,0.0,0.0,4,338,765
Ifi27l2a,9.431,1.332,0.0,0.0,4,338,765
H2-Ab1,8.337,1.205,0.0,0.0,4,338,765
Cd74,8.224,1.313,0.0,0.0,4,338,765
Ly6c2,8.117,2.156,0.0,0.0,4,338,765
H2-Eb1,7.695,1.332,0.0,0.0,4,338,765
Isg15,7.606,1.194,0.0,0.0,4,338,765
Ms4a4c,6.672,1.256,0.0,0.0,4,338,765
H2-Aa,6.456,1.09,0.0,0.0,4,338,765
Scimp,5.517,1.273,0.0,0.0,4,338,765
Xaf1,5.421,1.062,0.0,0.0,4,338,765
Oas1a,4.253,1.153,0.0,0.003,4,338,765
Ifit3,3.933,1.212,0.0,0.009,4,338,765
Gpr171,3.459,2.688,0.001,0.04,4,338,765
Napsa,-3.437,-1.08,0.001,0.042,4,338,765
Map4k4,-3.67,-1.086,0.0,0.021,4,338,765
Ms4a8a,-4.047,-1.175,0.0,0.006,4,338,765
